iso_8601,seconds_in_day,HH,MM,SS,bucket
00:03:28,208,00,03,28,EARLY MORNING
00:03:29,209,00,03,29,EARLY MORNING
00:03:30,210,00,03,30,EARLY MORNING
00:03:31,211,00,03,31,EARLY MORNING
00:03:32,212,00,03,32,EARLY MORNING
00:03:33,213,00,03,33,EARLY MORNING
00:03:34,214,00,03,34,EARLY MORNING
00:03:35,215,00,03,35,EARLY MORNING
00:03:36,216,00,03,36,EARLY MORNING
00:03:37,217,00,03,37,EARLY MORNING
00:03:38,218,00,03,38,EARLY MORNING
00:03:39,219,00,03,39,EARLY MORNING
00:03:40,220,00,03,40,EARLY MORNING
00:03:41,221,00,03,41,EARLY MORNING
00:03:42,222,00,03,42,EARLY MORNING
00:03:43,223,00,03,43,EARLY MORNING
00:03:44,224,00,03,44,EARLY MORNING
00:03:45,225,00,03,45,EARLY MORNING
00:03:46,226,00,03,46,EARLY MORNING
00:03:47,227,00,03,47,EARLY MORNING
00:03:48,228,00,03,48,EARLY MORNING
00:03:49,229,00,03,49,EARLY MORNING
00:03:50,230,00,03,50,EARLY MORNING
00:03:51,231,00,03,51,EARLY MORNING
00:03:52,232,00,03,52,EARLY MORNING
00:03:53,233,00,03,53,EARLY MORNING
00:03:54,234,00,03,54,EARLY MORNING
00:03:55,235,00,03,55,EARLY MORNING
00:03:56,236,00,03,56,EARLY MORNING
00:03:57,237,00,03,57,EARLY MORNING
00:03:58,238,00,03,58,EARLY MORNING
00:03:59,239,00,03,59,EARLY MORNING
00:04:00,240,00,04,00,EARLY MORNING
00:04:01,241,00,04,01,EARLY MORNING
00:04:02,242,00,04,02,EARLY MORNING
00:04:03,243,00,04,03,EARLY MORNING
00:04:04,244,00,04,04,EARLY MORNING
00:04:05,245,00,04,05,EARLY MORNING
00:04:06,246,00,04,06,EARLY MORNING
00:04:07,247,00,04,07,EARLY MORNING
00:04:08,248,00,04,08,EARLY MORNING
00:04:09,249,00,04,09,EARLY MORNING
00:04:10,250,00,04,10,EARLY MORNING
00:04:11,251,00,04,11,EARLY MORNING
00:04:12,252,00,04,12,EARLY MORNING
00:04:13,253,00,04,13,EARLY MORNING
00:04:14,254,00,04,14,EARLY MORNING
00:04:15,255,00,04,15,EARLY MORNING
00:04:16,256,00,04,16,EARLY MORNING
00:04:17,257,00,04,17,EARLY MORNING
00:04:18,258,00,04,18,EARLY MORNING
00:04:19,259,00,04,19,EARLY MORNING
00:04:20,260,00,04,20,EARLY MORNING
00:04:21,261,00,04,21,EARLY MORNING
00:04:22,262,00,04,22,EARLY MORNING
00:04:23,263,00,04,23,EARLY MORNING
00:04:24,264,00,04,24,EARLY MORNING
00:04:25,265,00,04,25,EARLY MORNING
00:04:26,266,00,04,26,EARLY MORNING
00:04:27,267,00,04,27,EARLY MORNING
00:04:28,268,00,04,28,EARLY MORNING
00:04:29,269,00,04,29,EARLY MORNING
00:04:30,270,00,04,30,EARLY MORNING
00:04:31,271,00,04,31,EARLY MORNING
00:04:32,272,00,04,32,EARLY MORNING
00:04:33,273,00,04,33,EARLY MORNING
00:04:34,274,00,04,34,EARLY MORNING
00:04:35,275,00,04,35,EARLY MORNING
00:04:36,276,00,04,36,EARLY MORNING
00:04:37,277,00,04,37,EARLY MORNING
00:04:38,278,00,04,38,EARLY MORNING
00:04:39,279,00,04,39,EARLY MORNING
00:04:40,280,00,04,40,EARLY MORNING
00:04:41,281,00,04,41,EARLY MORNING
00:04:42,282,00,04,42,EARLY MORNING
00:04:43,283,00,04,43,EARLY MORNING
00:04:44,284,00,04,44,EARLY MORNING
00:04:45,285,00,04,45,EARLY MORNING
00:04:46,286,00,04,46,EARLY MORNING
00:04:47,287,00,04,47,EARLY MORNING
00:04:48,288,00,04,48,EARLY MORNING
00:04:49,289,00,04,49,EARLY MORNING
00:04:50,290,00,04,50,EARLY MORNING
00:04:51,291,00,04,51,EARLY MORNING
00:04:52,292,00,04,52,EARLY MORNING
00:04:53,293,00,04,53,EARLY MORNING
00:04:54,294,00,04,54,EARLY MORNING
00:04:55,295,00,04,55,EARLY MORNING
00:04:56,296,00,04,56,EARLY MORNING
